TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
C579929,12/1/2019,22768,Family Photo Frame Cornice,6.04,-2,17828.0,Malta
C579929,12/1/2019,85034C,3 Rose Morris Boxed Candles,6.04,-1,17828.0,Malta
C579929,12/1/2019,72807C,Set/3 Vanilla Scented Candle In Box,6.04,-1,17828.0,Malta
C579929,12/1/2019,22307,Gold Mug Bone China Tree Of Life,6.04,-1,17828.0,Malta
C579929,12/1/2019,72741,Grand Chocolatecandle,6.04,-3,17828.0,Malta
C578274,11/23/2019,22768,Family Photo Frame Cornice,5.97,-2,17828.0,Malta
C578274,11/23/2019,85034C,3 Rose Morris Boxed Candles,5.97,-1,17828.0,Malta
C578274,11/23/2019,72807C,Set/3 Vanilla Scented Candle In Box,6.13,-1,17828.0,Malta
C578274,11/23/2019,22307,Gold Mug Bone China Tree Of Life,6.13,-1,17828.0,Malta
C578274,11/23/2019,72741,Grand Chocolatecandle,6.13,-3,17828.0,Malta
C564751,8/30/2019,22065,Christmas Pudding Trinket Pot,11.74,-4,17828.0,Malta
C564751,8/30/2019,22768,Family Photo Frame Cornice,20.45,-1,17828.0,Malta
C557054,6/16/2019,72807C,Set/3 Vanilla Scented Candle In Box,14.61,-1,17828.0,Malta
C557054,6/16/2019,72807A,Set/3 Rose Candle In Jewelled Box,14.61,-2,17828.0,Malta
